title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
243,1,Done,2.953,-4.54125,glide-grid_1,-4.54125,-0.936194,-0.16,0,-2.63279,-12.7249,-1.17353,0,0,-17.0078,-13.8984,0.00581926
323,2,Done,0.5,-5.86643,glide-grid_1,-5.86643,-2.38168,0,0,-2.25,-20.8144,-1.29355,0,0,-30.3664,-22.1079,0
785,3,Done,0.89,-4.75153,glide-grid_1,-4.75153,-0.373676,-0.44218,0,-2.25,-15.2382,-6.15841,0,0,-28.144,-21.3966,0.554451
938,4,Done,0.61,-5.07495,glide-grid_1,-5.08455,-0.880544,-0.460767,0,-2.56383,-13.8285,-3.25322,0,0,-20.6971,-17.0817,0.00943631
2758,5,Done,0.625,-3.77907,glide-grid_1,-3.77907,-0.85184,0,0,-2.25,-16.6731,1.04283,0,0,-19.0299,-15.6302,0
2775,6,Done,0.875,-5.19351,glide-grid_1,-5.19351,-1.78826,0,0,-1.99955,-25.7431,-0.790227,0,0,-35.028,-26.5334,0.362499
3026,7,Done,11.687,-2.82442,glide-grid_1,-2.82442,-2.50431,-0.227988,0,-1.87736,-31.5845,-2.09899,3.72236,-0.0430352,-34.5963,-33.6835,8.9463
6549,8,Done,5.39,-4.07095,glide-grid_1,-4.07095,-2.39777,-0.32,0,-2.25,-18.7646,-4.42551,2.49887,0,-25.5091,-23.1901,6.1228
6590,9,Done,0.422,-2.45606,glide-grid_1,-2.45606,-0.656892,-0.166642,0,-2.41415,-9.79945,-1.54581,1.50347,0,-12.323,-11.3453,0.424893
6738,10,Done,3.172,-4.59986,glide-grid_1,-4.59986,-0.93363,-0.16,0,-2.42697,-14.7397,-2.28188,0,0,-21.5606,-17.0216,0.170176
7166,11,Done,1.578,-5.89747,glide-grid_1,-5.90767,-1.40231,-0.587781,0,-2.53919,-22.8666,-5.1041,0.576165,-0.045615,-38.4596,-27.9707,0.283906
7461,12,Done,0.938,-4.16509,glide-grid_1,-4.16509,-0.793807,0,0,-2.4021,-18.0476,-0.445339,0,0,-22.2269,-18.493,1.82176
7462,13,Done,1.219,-4.16129,glide-grid_1,-4.16129,-0.862182,0,0,-2.39588,-17.653,-0.13717,0,0,-22.1899,-17.7901,0.345325
7463,14,Done,0.734,-4.17679,glide-grid_1,-4.17679,-0.773595,0,0,-2.39277,-18.5003,-0.569409,0,0,-23.763,-19.0697,0.441819
7469,15,Done,0.891,-4.18532,glide-grid_1,-4.22172,-0.487128,0,0,-2.29363,-19.6327,-2.77133,0,-0.0436372,-28.2649,-22.404,0.771039
8842,16,Done,17.593,-4.20369,glide-grid_1,-4.20369,-2.38903,-0.608,0,-2.25,-19.3963,-6.97249,3.05903,0,-30.5507,-26.3688,2.74291
10248,17,Done,2.344,-4.31883,glide-grid_1,-4.31883,-1.34123,-0.0103961,0,-2.08697,-24.9816,-2.62966,0.7633,0,-31.6551,-27.6113,5.11048
10351,18,Done,0.594,-4.97909,glide-grid_1,-4.97909,-0.980473,0,0,-2.7,-17.2968,-2.89186,0,0,-25.9411,-20.1886,0.632997
10494,19,GRID-ENERGY MIN FAILED,2.812,,,,,,,,,,,,,,
11230,20,Done,1.36,-5.28657,glide-grid_1,-5.28657,-1.45334,-0.32,0,-2.25,-16.7667,-2.83266,0,0,-25.4927,-19.5993,0.313901
11463,21,Done,0.656,-4.27831,glide-grid_1,-4.27831,-1.28701,0,0,-2.25,-12.9353,-0.630274,0,0,-16.7488,-13.5656,0
