title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"243",1,Done,2.906,-6.26831,"glide-grid_2",-6.26831,-1.8404,-0.16,-0,-3.12303,-15.8022,-2.36513,0,0,-26.0043,-18.1673,0.115354
"323",2,Done,0.5,-7.11093,"glide-grid_2",-7.11093,-2.51129,-0.258984,-0,-2.96705,-22.1173,-1.78489,0,0,-33.9607,-23.9022,0
"785",3,Done,0.969,-6.14982,"glide-grid_2",-6.14982,-1.75823,-0.427384,-0,-2.25,-17.0287,-5.75181,0,0,-31.3072,-22.7805,0.306802
"938",4,Done,0.625,-5.97286,"glide-grid_2",-5.98246,-1.54614,-0.16,-0,-2.95301,-15.928,-3.51273,0,0,-27.3744,-19.4407,0.0251692
"2758",5,Done,0.797,-6.92891,"glide-grid_2",-6.92891,-2.84651,0,-0,-3.15,-14.6533,-1.33159,0,0,-18.788,-15.9848,0
"2775",6,Done,1.234,-5.89279,"glide-grid_2",-5.89279,-2.41611,0,-0,-2.16212,-26.3572,0.022054,0,0,-35.7969,-26.3351,1.05995
"3026",7,Done,41.781,-4.16658,"glide-grid_2",-4.16658,-3.1495,-0.0961478,-0,-2.63924,-37.7211,-0.786708,3.72236,0,-45.571,-38.5078,5.36389
"6549",8,Done,11.406,-4.53376,"glide-grid_2",-4.53376,-2.65873,-0.32,-0,-2.69648,-19.3784,-2.58997,2.49887,0,-26.055,-21.9683,3.79105
"6590",9,Done,0.625,-3.296,"glide-grid_2",-3.296,-0.909338,-0.16,-0,-2.69142,-10.3758,-3.46618,1.50347,0,-17.274,-13.842,0.00889669
"6738",10,Done,3.203,-5.98926,"glide-grid_2",-5.98926,-2.10746,-0.14624,-0,-2.6019,-19.299,-1.12472,0,0,-28.5446,-20.4237,0.14375
"7166",11,Done,1.781,-6.95543,"glide-grid_2",-6.96563,-2.49455,0,-0,-3.41515,-28.1097,-1.51069,0.576165,0,-41.4271,-29.6203,0.755246
"7461",12,Done,1.188,-7.05082,"glide-grid_2",-7.05082,-2.94778,0,-0,-2.93171,-22.3254,-0.367012,0,0,-32.1256,-22.6924,0.0241334
"7462",13,Done,1.766,-7.07839,"glide-grid_2",-7.07839,-2.92449,0,-0,-2.97657,-23.1966,-0.116633,0,0,-33.0101,-23.3133,0.119234
"7463",14,Done,1.046,-7.15162,"glide-grid_2",-7.15162,-2.97782,0,-0,-2.98225,-22.3753,-0.485206,0,0,-32.5822,-22.8605,0.0918481
"7469",15,Done,1.063,-7.1647,"glide-grid_2",-7.2011,-1.82615,-0.413468,-0,-2.98015,-19.8773,-6.5831,0,0,-37.7489,-26.4604,0.28726
"8842",16,Done,39.875,-4.871,"glide-grid_2",-4.871,-3.24395,-0.305969,-0,-2.82311,-24.0175,-2.37418,3.05903,0,-32.2111,-26.3917,3.55588
"10248",17,Done,2.344,-6.80721,"glide-grid_2",-6.80721,-3.51093,-0.109342,-0,-2.36418,-28.4168,-1.10148,0.7633,0,-35.6399,-29.5183,9.34289
"10351",18,Done,0.672,-5.61202,"glide-grid_2",-5.61202,-1.27366,-0.32,-0,-2.76397,-15.6971,-3.13022,0,0,-25.1008,-18.8273,0.107322
"10494",19,Done,5.156,-3.66184,"glide-grid_2",-3.66184,-0.209527,-0.56,-0,-0.302097,-30.292,-6.73434,0,-0.0654626,-46.6124,-37.0263,2.60231
"11230",20,Done,1.64,-7.32364,"glide-grid_2",-7.32364,-2.82439,-0.269545,-0,-2.89955,-21.1471,-1.81862,0,0,-31.9687,-22.9657,0.0821162
