title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"243",1,Done,1,-5.60848,"glide-grid_1",-5.60848,-1.46924,-0.16,-0,-2.68312,-16.2128,-3.23655,0,0,-27.7626,-19.4494,0.0197485
"323",2,Done,0.516,-5.82113,"glide-grid_1",-5.82113,-1.76478,-0.32,-0,-2.25,-19.1203,-3.5356,0,0,-30.4821,-22.6559,0
"785",3,Done,0.859,-6.40868,"glide-grid_1",-6.40868,-1.49502,-0.603452,-0,-2.25,-12.7546,-9.48319,0,0,-30.408,-22.2378,0.885792
"938",4,Done,0.61,-5.39085,"glide-grid_1",-5.40045,-1.18433,-0.16,-0,-2.63987,-16.5408,-3.92808,0,0,-28.8223,-20.4689,0.0246704
"2758",5,Done,0.797,-5.04958,"glide-grid_1",-5.04958,-1.86257,0,-0,-2.25,-19.8675,0.375757,0,0,-25.5282,-19.4918,0
"2775",6,Done,1.14,-5.31846,"glide-grid_1",-5.31846,-1.94558,0,-0,-2.00321,-26.3801,-0.337753,0,0,-35.242,-26.7179,0.0928494
"3026",7,Done,27.406,-2.57601,"glide-grid_1",-2.57601,-2.46726,-0.00166516,-0,-1.94464,-31.4144,-2.09388,3.72236,0,-36.7366,-33.5083,3.73
"6549",8,Done,9.579,-3.18735,"glide-grid_1",-3.18735,-1.65753,-0.32,-0,-2.31667,-17.3297,-3.50357,2.49887,0,-23.7511,-20.8333,2.07373
"6590",9,Done,0.546,-2.94922,"glide-grid_1",-2.94922,-0.69048,-0.16,-0,-2.6453,-10.5046,-2.87786,1.50347,0,-17.0486,-13.3825,0.00768053
"6738",10,Done,1.281,-5.79016,"glide-grid_1",-5.79016,-1.60324,-0.16,-0,-2.67128,-16.6371,-3.49185,0,0,-28.2284,-20.129,0.0455913
"7166",11,Done,1.766,-6.3326,"glide-grid_1",-6.3428,-1.84221,-0.457763,-0,-2.76866,-22.7942,-4.73743,0.576165,0,-37.5064,-27.5316,1.06792
"7461",12,Done,1.062,-5.56966,"glide-grid_1",-5.56966,-2.22012,0,-0,-2.30232,-18.8431,-0.700477,0,0,-25.7255,-19.5435,0.0306471
"7462",13,Done,1.469,-5.37579,"glide-grid_1",-5.37579,-2.14175,0,-0,-2.30151,-18.8885,0.0793134,0,0,-24.4005,-18.8092,0.848614
"7463",14,Done,0.937,-5.48969,"glide-grid_1",-5.48969,-2.13851,0,-0,-2.30353,-18.602,-0.783695,0,0,-25.8312,-19.3857,0.00430364
"7469",15,Done,0.907,-6.71661,"glide-grid_1",-6.75301,-1.38493,-0.588054,-0,-2.67047,-17.1324,-8.35288,0,0,-34.6653,-25.4853,0.738075
"8842",16,Done,33.437,-1.44103,"glide-grid_1",-1.44103,-1.45995,-0.206191,-0,-2.53715,-1.56675,-1.45625,3.05903,0,-2.43131,-3.023,6.82981
"10248",17,Done,2.406,-4.25306,"glide-grid_1",-4.25306,-1.74033,0,-0,-1.98918,-22.1578,-1.19307,0.7633,0,-28.8599,-23.3508,0.513039
"10351",18,Done,0.594,-5.15542,"glide-grid_1",-5.15542,-0.986616,-0.232401,-0,-2.65809,-15.922,-3.21477,0,0,-24.8102,-19.1368,0.407454
"10494",19,Done,2.672,-4.50469,"glide-grid_1",-4.50469,-1.96807,-0.180978,-0,-0.46925,-30.8689,-2.28632,0,0,-42.1863,-33.1552,0.616432
"11230",20,Done,1.656,-5.99995,"glide-grid_1",-5.99995,-2.02208,-0.306986,-0,-2.3031,-18.3174,-3.01276,0,0,-28.8996,-21.3302,0.0432794
"11463",21,Done,0.765,-5.16174,"glide-grid_1",-5.16174,-1.80692,0,-0,-2.30833,-18.9973,-0.644182,0,0,-25.4709,-19.6414,0
"12072",22,Done,1.188,-5.63329,"glide-grid_1",-5.63329,-1.96463,-0.32,-0,-2.29398,-20.4331,-4.38498,0.624717,0,-32.8081,-24.8181,0.496475
"14896",23,Done,0.75,-5.18358,"glide-grid_1",-5.18358,-1.99605,0,-0,-2.31279,-16.7237,-0.256991,0,0,-22.1343,-16.9807,0
"23915",24,Done,2.781,-4.00424,"glide-grid_1",-4.00424,-1.64878,-0.149039,-0,-0.460182,-26.7598,-2.72166,0,0,-30.8476,-29.4815,7.22227
"31211",25,Done,1.969,-5.21347,"glide-grid_1",-5.21347,-1.87029,0,-0,-2.53482,-21.5691,-3.91566,0.85744,0,-29.0611,-25.4848,8.76009
"31253",26,Done,14.469,-1.21265,"glide-grid_1",-1.21265,-1.57152,0,-0,-2.34077,-7.44809,0.179765,3.04507,0,-5.5099,-7.26832,3.71585
"62566",27,Done,1.484,-5.51363,"glide-grid_1",-5.51363,-2.52339,0,-0,-2.01579,-19.7525,0.0877847,0,0,-24.8142,-19.6647,2.06846
"64945",28,Done,2.485,-3.90127,"glide-grid_1",-3.90127,-1.07235,-0.32,-0,-0.302097,-24.3522,-6.57737,0,-0.002599,-37.7283,-30.9295,1.39156
"66841",29,Done,1.422,-5.49462,"glide-grid_1",-5.49462,-2.17288,0,-0,-2.30525,-18.1885,-0.713773,0,0,-24.2551,-18.9023,1.68814
"68289",30,Done,0.765,-5.95719,"glide-grid_1",-5.95719,-1.37858,-0.32,-0,-2.38799,-16.1319,-7.09348,0,0,-31.2421,-23.2254,0.412659
"72307",31,Done,2.735,-5.16549,"glide-grid_1",-5.16549,-1.52673,0,-0,-1.77728,-36.7389,-2.19254,0.304345,0,-50.7026,-38.9315,0.214429
"72326",32,Done,2.937,-3.71086,"glide-grid_1",-3.71086,-1.2023,-0.32,-0,-0.390567,-19.3255,-6.90434,0.203937,0,-30.9603,-26.2299,2.15264
"73057",33,Done,3.016,-3.42933,"glide-grid_1",-3.42933,-1.15312,0,-0,-0.664904,-28.7621,-1.15471,0,0,-35.4749,-29.9168,1.14417
"73117",34,Done,5.968,-5.11881,"glide-grid_1",-5.11881,-2.13815,-0.32,-0,-0.774285,-34.4458,-2.83172,0.260668,0,-49.0923,-37.2775,1.00257
"81722",35,Done,1.454,-4.94866,"glide-grid_1",-4.94866,-1.89879,0,-0,-2.25,-23.0334,-1.81948,0.624717,0,-31.9043,-24.8529,0.102107
"91472",36,Done,1.234,-4.43808,"glide-grid_1",-4.43808,-2.1469,0,-0,-0.839739,-26.696,-0.777603,0,0,-34.3569,-27.4736,0
"92231",37,Done,1.468,-5.08064,"glide-grid_1",-5.08064,-1.53067,-0.32,-0,-1.9067,-18.4571,-2.66941,0,0,-25.219,-21.1265,0.698619
"92802",38,Done,2.844,-3.36382,"glide-grid_1",-3.36382,-0.988676,-0.32,-0,-0.390567,-17.6173,-5.90453,0.101969,0,-27.9884,-23.5218,1.16904
"93009",39,Done,1.063,-5.06653,"glide-grid_1",-5.06653,-1.62677,0,-0,-2.52077,-23.0333,-1.25738,0.421275,0,-32.093,-24.2907,0.445703
"95779",40,Done,1.719,-6.87592,"glide-grid_1",-6.87592,-1.90567,-0.385583,-0,-2.30833,-20.5415,-8.32845,0,0,-38.5817,-28.8699,1.94879
"98914",41,Done,4.109,-6.00319,"glide-grid_1",-6.00319,-2.16206,-0.304,-0,-2.12895,-24.8789,-5.92843,0.725034,0,-41.0087,-30.8074,4.13023
"101761",42,Done,3.078,-4.2209,"glide-grid_1",-4.2209,-2.09206,-0.283533,-0,-0.390567,-24.9942,-2.04667,0.101969,0,-33.998,-27.0408,0.436295
"115250",43,Done,1.64,-3.19591,"glide-grid_1",-3.19591,-1.29847,0,-0,-0.499654,-27.9123,-0.0145174,0,0,-32.9905,-27.9268,0.00404675
"160767",44,Done,1.047,-6.70657,"glide-grid_1",-6.70657,-2.59335,-0.32,-0,-2.26774,-21.1255,-5.37428,0.336929,0,-37.4151,-26.4997,0.553311
"161937",45,Done,1.875,-5.83874,"glide-grid_1",-5.83874,-2.19881,-0.32,-0,-1.79761,-22.7566,-4.61783,0.308191,0,-34.4547,-27.3744,4.26033
