title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
243,1,Done,0.953,-0.720882,glide-grid_13,-5.59788,-0.927476,0,0,-2.557,-18.5733,-7.89829,0,0,-33.7863,-26.4716,2.80701
243,2,Done,0.25,-4.32556,glide-grid_13,-4.32576,-0.532524,-0.225409,0,-2.25,-10.3933,-4.82563,0,-0.0743178,-24.7908,-15.2189,0.185581
323,3,Done,0.234,-4.48801,glide-grid_13,-4.48801,-0.906186,0,0,-2.25,-19.618,-2.3395,0,0,-28.3134,-21.9575,0
785,4,Done,0.391,-5.74361,glide-grid_13,-5.74361,-0.779016,-0.573207,0,-2.25,-15.657,-9.05691,0,0,-33.1291,-24.714,0.0881073
938,5,Done,0.422,0.0244801,glide-grid_13,-5.78402,-0.791636,0,0,-2.57219,-17.5295,-10.2915,0,0,-35.3299,-27.821,3.24024
938,6,Done,0.296,-4.28599,glide-grid_13,-4.28599,-0.246459,-0.32879,0,-2.25,-9.86088,-5.90325,0,-0.0822046,-24.9905,-15.7641,0.76071
2758,7,Done,0.282,-4.76983,glide-grid_13,-4.76983,-1.48321,-0.0229954,0,-2.25,-18.264,-0.669504,0,0,-24.0293,-18.9335,0
2775,8,Done,0.5,-5.51256,glide-grid_13,-5.51256,-1.50942,0,0,-1.99321,-27.6054,-4.19771,0,0,-41.7789,-31.8031,0.450494
3026,9,Done,17.578,-1.15491,glide-grid_13,-1.15491,-2.17087,0,0,-1.50405,-22.094,-0.651042,3.72236,0,-23.0597,-22.7451,2.62166
6549,10,Done,3.812,-3.33013,glide-grid_13,-3.33013,-1.98861,-0.32,0,-2.25,-14.2424,-3.7218,2.49887,0,-20.0526,-17.9642,3.20118
6590,11,Done,0.391,-0.295793,glide-grid_13,-4.54709,-0.40325,0,0,-2.25,-11.2347,-8.8585,0,-0.00333069,-24.929,-20.0932,1.20735
6590,12,Done,0.266,-2.80077,glide-grid_13,-2.80127,0,-0.4,0,-2.25,-1.59799,-9.83229,1.50347,-0.1,-17.5611,-11.4303,0.46456
6738,13,Done,0.64,1.10404,glide-grid_13,-5.41346,-0.636873,0,0,-2.49824,-19.3247,-13.0049,0.638627,0,-40.1999,-32.3296,4.22565
