title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"243",1,Done,1.406,-6.30034,"glide-grid_1",-6.30034,-1.78268,-0.16,-0,-3.06667,-14.8102,-3.66992,0,0,-28.2284,-18.4801,0.00336661
"323",2,Done,0.5,-7.68413,"glide-grid_1",-7.68413,-2.77241,-0.32,-0,-3.2824,-20.9951,-1.73049,0,0,-33.7539,-22.7256,0
"785",3,Done,0.813,-6.15557,"glide-grid_1",-6.15557,-1.83576,-0.478183,-0,-2.25,-16.3682,-5.15481,0,0,-30.5793,-21.523,0.405665
"938",4,Done,0.625,-6.13689,"glide-grid_1",-6.14649,-1.5791,-0.16,-0,-3.025,-15.6048,-4.01432,0,0,-29.5209,-19.6191,0.00073475
"2758",5,Done,0.656,-5.31108,"glide-grid_1",-5.31108,-1.9755,0,-0,-2.25,-22.2506,0.179603,0,0,-29.0262,-22.071,0
"2775",6,Done,1.125,-5.27599,"glide-grid_1",-5.27599,-1.80341,0,-0,-2.00314,-27.1067,-0.760753,0,0,-36.9103,-27.8674,0.178396
"3026",7,Done,20.281,-4.75421,"glide-grid_1",-4.75421,-3.10948,-0.32,-0,-2.74206,-39.7513,-2.07693,3.72236,-0.00593674,-51.6513,-41.8282,3.646
"6549",8,Done,11.594,-5.21081,"glide-grid_1",-5.21081,-2.54887,-0.595963,-0,-2.85833,-17.6952,-5.47831,2.49887,0,-29.2692,-23.1735,2.00021
"6590",9,Done,0.516,-3.13536,"glide-grid_1",-3.13536,-0.99,0,-0,-2.88646,-12.2239,-1.00782,1.50347,0,-16.9672,-13.2317,0.00758827
"6738",10,Done,1.782,-6.01645,"glide-grid_1",-6.01645,-1.7334,-0.134435,-0,-2.66152,-19.7475,-3.33148,0,0,-32.0615,-23.079,2.2813
"7166",11,Done,1.75,-6.469,"glide-grid_1",-6.4792,-1.44168,-0.32,-0,-3.2686,-25.4713,-5.01014,0.576165,0,-42.5507,-30.4814,0.354392
"7461",12,Done,1.234,-6.4688,"glide-grid_1",-6.4688,-2.64236,0,-0,-2.725,-21.322,-0.235583,0,0,-28.9865,-21.5576,1.76826
"7462",13,Done,1.781,-6.03387,"glide-grid_1",-6.03387,-2.351,0,-0,-2.525,-23.003,-0.0514497,0,0,-30.0914,-23.0545,2.32169
"7463",14,Done,1.063,-6.27043,"glide-grid_1",-6.27043,-2.39468,0,-0,-2.68793,-23.4707,-0.0952185,0,0,-31.4712,-23.5659,1.58858
"7469",15,Done,0.953,-7.5384,"glide-grid_1",-7.5748,-2.18697,-0.32,-0,-3.55833,-22.442,-2.58264,0,0,-38.3216,-25.0247,0.0116336
"8842",16,Done,38.719,-3.52669,"glide-grid_1",-3.52669,-2.72459,0,-0,-2.45036,-22.6711,-1.84812,3.05903,0,-27.5858,-24.5192,4.22802
"10248",17,Done,2.219,-4.54586,"glide-grid_1",-4.54586,-1.82807,0,-0,-1.98918,-25.8395,-1.33296,0.7633,0,-34.4065,-27.1724,0.660622
"10351",18,Done,0.562,-5.32565,"glide-grid_1",-5.32565,-1.00728,-0.249689,-0,-2.79213,-16.9774,-2.68475,0,-0.0249714,-26.1401,-19.6622,0.447722
"10494",19,Done,2.969,-3.30161,"glide-grid_1",-3.30161,-1.38375,-0.0167959,-0,-0.302097,-31.0502,-0.294004,0,-0.00236562,-38.6999,-31.3442,1.09097
"11230",20,Done,1.562,-6.2868,"glide-grid_1",-6.2868,-2.3257,-0.148623,-0,-2.58467,-20.9449,-1.20376,0,0,-29.4127,-22.1486,0.892334
"11463",21,Done,1.032,-6.04215,"glide-grid_1",-6.04215,-2.64764,0,-0,-2.48955,-18.901,0.267252,0,0,-23.8947,-18.6338,0
"12072",22,Done,1.25,-6.19568,"glide-grid_1",-6.19568,-2.34337,-0.16,-0,-2.6144,-19.9538,-4.69955,0.624717,0,-32.8868,-24.6533,1.82617
"14896",23,Done,0.656,-5.67174,"glide-grid_1",-5.67174,-2.56597,0,-0,-2.25,-17.0691,-0.0154153,0,0,-22.0341,-17.0845,0
