title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"243",1,Done,1.219,-5.22855,"glide-grid_1",-5.22855,-0.351576,-0.16,-0,-2.25,-14.373,-11.3196,0,-0.0503814,-32.3913,-25.6926,3.95317
"323",2,Done,0.296,-4.27812,"glide-grid_1",-4.27812,-0.236821,-0.32,-0,-2.25,-16.9659,-4.15339,0,0,-26.6798,-21.1193,0
"785",3,Done,0.375,-4.50688,"glide-grid_1",-4.50688,-0.397421,-0.182612,-0,-2.25,-14.3106,-6.4088,0,0,-26.3664,-20.7194,2.39372
"938",4,Done,0.407,-5.20282,"glide-grid_1",-5.20282,-0.255405,-0.16,-0,-2.25,-16.1064,-11.2697,0,-0.0416496,-35.009,-27.376,3.15037
"2758",5,Done,0.187,-2.82034,"glide-grid_1",-2.82034,-0.0900178,0,-0,-2.25,-10.0742,0.155906,0,0,-11.5884,-9.91827,0
"2775",6,Done,0.485,-3.9429,"glide-grid_1",-3.9429,-0.135015,-0.298371,-0,-2.00321,-19.1195,-3.66884,0,0,-29.0327,-22.7884,0.130097
"3026",7,Done,30.031,-0.787324,"glide-grid_1",-0.787324,-0.276895,-0.32,-0,-1.51055,-30.4575,-5.26801,3.72236,-0.0891723,-36.219,-35.7255,2.64802
"6549",8,Done,4.625,-1.69526,"glide-grid_1",-1.69526,-0.210103,-0.237083,-0,-2.25,-11.0224,-6.30543,2.49887,0,-18.5454,-17.3279,2.1629
"6590",9,Done,1.812,-4.66086,"glide-grid_1",-4.66086,-0.0635633,-0.16,-0,-2.25,-6.07611,-12.1377,0,-0.0628409,-23.2756,-18.2138,1.36695
"6738",10,Done,0.75,-5.02198,"glide-grid_1",-5.02198,-0.274821,-0.15404,-0,-2.25,-15.5224,-14.4755,0.638627,-0.034306,-38.0996,-29.9978,4.03303
"7166",11,Done,0.813,-4.34973,"glide-grid_1",-4.34973,-0.387026,-0.188574,-0,-2.25,-20.2058,-6.95159,0.576165,-0.0472682,-34.6742,-27.1574,0.885227
"7461",12,"GRID-ENERGY MIN FAILED",0.218,,,,,,,,,,,,,,
"7462",13,"GRID-ENERGY MIN FAILED",0.391,,,,,,,,,,,,,,
"7463",14,"GRID-ENERGY MIN FAILED",0.188,,,,,,,,,,,,,,
"7469",15,Done,0.515,-5.22619,"glide-grid_1",-5.22619,-0.326687,-0.32,-0,-2.25,-16.552,-9.88759,0,-0.0187678,-34.3971,-26.4396,3.2263
"8842",16,Done,18.531,-0.853291,"glide-grid_1",-0.853291,-0.249805,-0.172321,-0,-2.25,-16.0157,-2.92941,3.05903,0,-18.0781,-18.9451,4.03496
"10248",17,Done,2.828,-3.30805,"glide-grid_1",-3.30805,-0.0724232,-0.34875,-0,-1.98918,-18.5259,-4.89802,0.7633,0,-28.2401,-23.4239,0.750012
"10351",18,Done,0.375,-4.15857,"glide-grid_1",-4.15857,-0.318709,-0.16,-0,-2.25,-14.357,-4.50666,0,-0.0360163,-24.0245,-18.8636,0.222396
"10494",19,Done,1.672,-2.99828,"glide-grid_1",-2.99828,-0.232584,0,-0,-0.373559,-28.6794,-7.03021,0.0963637,0,-39.8773,-35.7096,2.4344
"11230",20,Done,1,-3.8408,"glide-grid_1",-3.8408,-0.284255,-0.0840122,-0,-2.25,-14.7993,-3.2171,0,0,-22.5415,-18.0164,0.162876
"11463",21,Done,0.328,-3.22144,"glide-grid_1",-3.22144,-0.314027,0,-0,-2.25,-12.4765,-0.223878,0,0,-15.0267,-12.7004,0
"12072",22,Done,0.625,-3.52139,"glide-grid_1",-3.52139,-0.455175,-0.117884,-0,-2.25,-17.4718,-2.99642,0.624717,0,-24.6406,-20.4682,1.11603
"14896",23,"GRID-ENERGY MIN FAILED",0.266,,,,,,,,,,,,,,
"23915",24,Done,1.766,-3.89779,"glide-grid_1",-3.89779,-0.0819177,-0.612689,-0,-0.460182,-25.2162,-9.88132,0,0,-41.5119,-35.0975,2.26123
"31211",25,Done,3.344,-3.80167,"glide-grid_1",-3.80167,-0.244534,-0.229476,-0,-2.08482,-18.8702,-7.41265,0.85744,-0.044876,-32.0708,-26.2828,2.48181
"31253",26,"GRID-ENERGY MIN FAILED",5.281,,,,,,,,,,,,,,
"62566",27,"GRID-ENERGY MIN FAILED",0.438,,,,,,,,,,,,,,
"64945",28,Done,1.531,-3.87616,"glide-grid_1",-3.87616,-0.455803,-0.304,-0,-0.295225,-13.3897,-14.4427,0.0963637,-0.0815993,-31.5323,-27.8324,6.60505
"66841",29,"GRID-ENERGY MIN FAILED",0.656,,,,,,,,,,,,,,
"68289",30,Done,0.344,-4.38378,"glide-grid_1",-4.38378,-0.231757,-0.196693,-0,-2.25,-14.3298,-6.15556,0,-0.0655072,-25.3138,-20.4854,2.84869
"72307",31,Done,2,-4.53635,"glide-grid_1",-4.53635,-0.6623,-0.64,-0,-0.993046,-31.2048,-6.12357,0.304345,-0.0665689,-46.9787,-37.3284,2.93716
"72326",32,Done,1.329,-2.70661,"glide-grid_1",-2.70661,-0.597497,-0.29312,-0,-0.390567,-18.1342,-4.81765,0.203937,0,-21.6967,-22.9519,9.5194
"73057",33,Done,5,-3.84296,"glide-grid_1",-3.84296,-0.312186,-0.589799,-0,-0.664904,-23.1945,-7.44234,0,0,-36.7736,-30.6368,2.2387
"73117",34,Done,4.36,-4.32279,"glide-grid_1",-4.32279,-0.52837,-0.523328,-0,-0.774285,-30.2642,-8.29513,0.260668,0,-48.2567,-38.5593,1.64657
"81722",35,Done,0.375,-4.04385,"glide-grid_1",-4.04385,-0.584632,-0.32,-0,-2.25,-17.6625,-4.20543,0.624717,0,-27.166,-21.8679,0.122895
"91472",36,Done,0.734,-2.75182,"glide-grid_1",-2.75182,-0.743303,0,-0,-0.670375,-28.6035,0.613562,0,0,-32.8425,-27.99,0
"92231",37,Done,0.375,-3.53719,"glide-grid_1",-3.53719,-0.126863,-0.16,-0,-1.9067,-17.233,-3.21318,0,0,-25.1371,-20.4462,0.167079
"92802",38,Done,1.219,-2.34049,"glide-grid_1",-2.34049,-0.349458,-0.0335607,-0,-0.390567,-21.6829,-3.89821,0.101969,0,-27.6618,-25.5811,1.93899
"93009",39,"GRID-ENERGY MIN FAILED",0.266,,,,,,,,,,,,,,
"95779",40,Done,1.14,-4.95176,"glide-grid_1",-4.95176,-0.400045,-0.472298,-0,-2.25,-13.8351,-7.58443,0,0,-28.6104,-21.4195,0.482211
"98914",41,Done,3.844,-3.3259,"glide-grid_1",-3.3259,-0.310582,-0.112871,-0,-1.55253,-21.7348,-5.9507,0.725034,-0.0956032,-33.6352,-27.6855,1.23617
"101761",42,Done,1.531,-2.32147,"glide-grid_1",-2.32147,-0.229243,-0.262189,-0,-0.390567,-25.8856,-1.6477,0.101969,0,-30.5821,-27.5333,0.400333
"115250",43,Done,0.547,-2.43917,"glide-grid_1",-2.43917,-0.462519,0,-0,-0.499654,-27.7383,-0.600534,0,0,-30.2033,-28.3388,0.508348
"160767",44,Done,0.75,-3.3209,"glide-grid_1",-3.3209,-0.27365,-0.102019,-0,-1.88008,-24.5698,-0.949696,0.336929,-0.0311341,-29.6444,-25.5195,2.05663
"161937",45,Done,0.953,-4.25083,"glide-grid_1",-4.25083,-0.468993,-0.32,-0,-1.79761,-20.1146,-6.4446,0.308191,0,-33.2363,-26.5592,2.13919
"165536",46,Done,0.297,-3.14066,"glide-grid_1",-3.14066,-0.21247,0,-0,-1.95645,-20.613,0.392735,0,0,-24.1186,-20.2203,0
"168836",47,Done,35.266,-2.8914,"glide-grid_1",-2.8914,-1.12277,-0.516606,-0,-1.40863,-28.0309,-11.4009,3.39616,-0.127877,-46.2771,-39.4318,1.6733
"173183",48,Done,2.515,-2.96443,"glide-grid_1",-2.96443,-0.846434,-0.16,-0,-0.677181,-24.0058,-3.79355,0.488504,0,-30.859,-27.7994,5.1211
"196854",49,Done,2.25,-3.6053,"glide-grid_1",-3.6053,-0.254984,-0.319594,-0,-1.23784,-23.9793,-3.71405,0,-0.0368063,-33.7368,-27.6934,0
"238797",50,Done,1.109,-3.62662,"glide-grid_1",-3.62662,-0.262286,-0.0383075,-0,-1.8251,-16.9526,-8.58649,0.634686,0,-30.9593,-25.5391,1.27664
"259846",51,Done,1.094,-2.19826,"glide-grid_1",-2.19826,-0.384297,0,-0,-0.499654,-27.4321,-0.344729,0.109005,0,-30.7363,-27.7769,0.936126
"336327",52,Done,0.719,-4.5595,"glide-grid_1",-4.5595,-0.233239,-0.32909,-0,-1.56627,-17.8728,-10.2484,0,0,-36.7856,-28.1212,1.50543
"440917",53,"GRID-ENERGY MIN FAILED",0.312,,,,,,,,,,,,,,
"440966",54,Done,0.219,-3.01777,"glide-grid_1",-3.01777,-0.11587,0,-0,-2.25,-12.5682,-0.156595,0,0,-15.1197,-12.7248,0
"440967",55,"GRID-ENERGY MIN FAILED",0.219,,,,,,,,,,,,,,
"440968",56,Done,0.234,-2.71454,"glide-grid_1",-2.71454,-0.0389888,0,-0,-2.25,-10.0564,0.515077,0,0,-11.1497,-9.54128,0
"442391",57,Done,1.938,-3.72161,"glide-grid_1",-3.72161,-0.212201,-0.0346387,-0,-1.59319,-19.5654,-5.82989,0,-0.0288298,-30.7596,-25.3953,1.15208
"442399",58,Done,1.265,-3.13025,"glide-grid_1",-3.13025,-0.15407,0,-0,-1.92045,-24.0347,-0.979501,0.352501,-0.0595756,-29.8368,-25.0142,2.86198e-06
"442484",59,"GRID-ENERGY MIN FAILED",0.375,,,,,,,,,,,,,,
"442811",60,Done,1.875,-5.0481,"glide-grid_1",-5.0481,-0.468809,-0.456,-0,-1.34781,-24.4491,-11.6964,0.201429,0,-44.2041,-36.1455,8.57747
"442985",61,Done,1.625,-2.99365,"glide-grid_1",-2.99365,-0.413612,-0.0387278,-0,-0.588847,-32.7615,-1.86781,0,-0.0342178,-40.3567,-34.6293,0.320903
"443027",62,Done,0.907,-3.30211,"glide-grid_1",-3.30211,-0.613867,-0.0802316,-0,-0.903117,-25.4645,-2.87776,0,0,-33.5424,-28.3423,0.56665
"443158",63,Done,5.312,-1.69526,"glide-grid_1",-1.69526,-0.210103,-0.237083,-0,-2.25,-11.0224,-6.30543,2.49887,0,-18.5454,-17.3279,2.1629
"443162",64,Done,0.719,-3.27783,"glide-grid_1",-3.27783,-0.206935,-0.120517,-0,-2.25,-15.7455,-3.58547,0.624717,0,-22.9338,-19.3309,1.43598
"445858",65,Done,2.719,-5.28755,"glide-grid_1",-5.28755,-0.618094,-0.293938,-0,-2.08511,-16.9664,-15.0413,0.857756,-0.0436491,-41.9801,-32.0077,1.26918
"625383",66,Done,1.765,-3.80145,"glide-grid_1",-3.80145,-0.477159,-0.122014,-0,-1.45719,-26.1615,-5.52094,0.443103,-0.0519774,-38.7487,-31.6824,1.43343
