title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"243",1,Done,1.656,-4.26874,"glide-grid_1",-4.26874,-0.897914,-0.192916,-0,-2.25,-10.5937,-2.44866,0,-0.0309272,-19.0982,-13.0423,0.031027
"323",2,Done,0.469,-4.19564,"glide-grid_1",-4.19564,-0.913137,-0.133146,-0,-2.25,-18.6727,0.228536,0,0,-22.5354,-18.4441,0
"785",3,Done,1.844,-5.4524,"glide-grid_1",-5.4524,-1.26526,-0.250234,-0,-2.25,-12.8783,-6.95323,0,0,-27.1277,-19.8316,0.667372
"938",4,Done,0.547,-3.70837,"glide-grid_1",-3.71797,0,-0.2,-0,-2.32706,-11.2213,-4.19891,0,0,-22.4663,-15.4202,0.56496
"2758",5,"GRID-ENERGY MIN FAILED",1.359,,,,,,,,,,,,,,
"2775",6,Done,1.062,-3.89436,"glide-grid_1",-3.89436,-0.668986,-0.0434558,-0,-2.00321,-21.4566,-0.705859,0,0,-27.4748,-22.1624,0.222167
"3026",7,Done,35.328,-0.812898,"glide-grid_1",-0.812898,-0.914045,-0.292411,-0,-1.72744,-24.6058,-2.17995,3.72236,-0.0440771,-26.0481,-26.7858,3.8113
"6549",8,Done,5.797,-1.17078,"glide-grid_1",-1.17078,-0.637946,-0.0743286,-0,-2.25,-6.58771,-2.5199,2.49887,0,-8.99177,-9.10761,2.23669
"6590",9,Done,1.406,-3.23339,"glide-grid_1",-3.23339,-0.485754,-0.304637,-0,-2.54235,-9.00296,-6.35983,1.50347,0,-20.449,-15.3628,0.170974
"6738",10,Done,0.813,-4.27101,"glide-grid_1",-4.27101,-0.553939,-0.134911,-0,-2.25,-3.05801,-7.38316,0,-0.0717851,-13.5155,-10.4412,1.22707
"7166",11,Done,2.453,-3.77221,"glide-grid_1",-3.78241,-0.13549,-0.48,-0,-2.25,-15.5843,-4.18207,0.576165,-0.0865646,-24.178,-19.7663,0.968749
"7461",12,Done,0.828,-4.29257,"glide-grid_1",-4.29257,-1.45536,0,-0,-2.25,-11.005,-0.246344,0,0,-14.9592,-11.2514,0.16286
"7462",13,Done,2.109,-4.23363,"glide-grid_1",-4.23363,-1.52088,0,-0,-2.29502,-7.42114,-0.311184,0,0,-12.8681,-7.73233,1.61354
