title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
"243",1,Done,0.922,-6.87051,"glide-grid_1",-6.87051,-1.73831,-0.37049,-0,-2.67999,-18.8108,-7.60792,0,0,-40.3737,-26.4187,0.0320423
"323",2,Done,0.5,-6.99099,"glide-grid_1",-6.99099,-2.70832,-0.183095,-0,-2.25,-29.6846,-2.43565,0,0,-45.6126,-32.1202,0
"785",3,Done,0.953,-6.43746,"glide-grid_1",-6.43746,-1.67311,-0.456,-0,-2.25,-17.707,-7.82005,0,0,-37.064,-25.527,0.0101136
"938",4,Done,0.641,-6.7865,"glide-grid_1",-6.7961,-1.56579,-0.37679,-0,-2.67957,-19.0996,-8.12646,0,0,-41.4564,-27.226,0.0467173
"2758",5,Done,0.578,-4.51056,"glide-grid_1",-4.51056,-1.0863,-0.0187689,-0,-2.25,-18.7903,-1.43988,0,0,-26.0158,-20.2302,0
"2775",6,Done,1.219,-6.09213,"glide-grid_1",-6.09213,-2.30608,-0.120135,-0,-2.00243,-24.7557,-2.838,0,0,-37.494,-27.5937,1.36744
"3026",7,Done,59.516,-3.5837,"glide-grid_1",-3.5837,-2.44762,-0.36347,-0,-1.84826,-32.4702,-6.75339,3.72236,-0.0101973,-45.908,-39.2236,4.34289
"6549",8,Done,14.437,-2.47098,"glide-grid_1",-2.47098,-1.01666,-0.16,-0,-2.42225,-17.6882,-3.24356,2.49887,0,-23.1456,-20.9317,2.19051
"6590",9,Done,0.641,-4.06593,"glide-grid_1",-4.06593,-0.457542,-0.401234,-0,-2.5501,-8.43706,-11.5912,1.50347,0,-27.4179,-20.0282,0.399937
"6738",10,Done,1.203,-7.86546,"glide-grid_1",-7.86546,-2.06397,-0.356275,-0,-2.97875,-21.8003,-9.17636,0,0,-49.0757,-30.9767,0.0637631
"7166",11,Done,1.938,-7.02915,"glide-grid_1",-7.03935,-2.39623,-0.32,-0,-3.20517,-31.2084,-0.891313,0.576165,0,-44.8347,-32.0997,0.757487
"7461",12,Done,1.328,-5.46839,"glide-grid_1",-5.46839,-1.87797,0,-0,-2.66667,-19.3354,0.286755,0,0,-24.5628,-19.0487,1.81289
